Apparatus and method for insulating conductor bars for rotating electrical machines;08343295;http://www.freepatentsonline.com/8343295.pdf
Filter structure and method for filtering an input signal;08346835;http://www.freepatentsonline.com/8346835.pdf
Method for determining an item of positioning information for ECG electrodes during an examination with a magnetic resonance facility and magnetic resonance facility;08346341;http://www.freepatentsonline.com/8346341.pdf
Process for the conversion of solid particulated biomass materials;08344194;http://www.freepatentsonline.com/8344194.pdf
Optical analysis system and approach therefor;08346346;http://www.freepatentsonline.com/8346346.pdf
Essential element extractor;08343553;http://www.freepatentsonline.com/8343553.pdf
Process for deposition of non-oxide ceramic coatings;08343582;http://www.freepatentsonline.com/8343582.pdf
Organic electronic devices with an encapsulation;08344360;http://www.freepatentsonline.com/0834436.pdf
System, method and apparatus for viewer detection and action;08347325;http://www.freepatentsonline.com/8347325.pdf
Print-item setting server apparatus, print-item setting method, and computer program product;08345277;http://www.freepatentsonline.com/8345277.pdf
Pattern generation method, computer-readable recording medium, and semiconductor device manufacturing method;08347241;http://www.freepatentsonline.com/8347241.pdf
Interactive electronic card with display and buttons;D0673606;http://www.freepatentsonline.com/D067366.pdf
Selection and use of lactic acid bacteria for reducing dental caries and bacteria causing dental caries;08343483;http://www.freepatentsonline.com/8343483.pdf
Storage device, substrate, liquid container, system and control method of storage device;08345507;http://www.freepatentsonline.com/0834557.pdf
Method and apparatus for controlling a multimedia gateway comprising an IMSI;08346943;http://www.freepatentsonline.com/8346943.pdf
Fast synchronised transparent handover method and system;08345627;http://www.freepatentsonline.com/8345627.pdf
Integrating security protection tools with computer device integrity and privacy policy;08347085;http://www.freepatentsonline.com/0834785.pdf
Apoptosis-inducing agents for the treatment of cancer and immune and autoimmune diseases;08343967;http://www.freepatentsonline.com/8343967.pdf
Temperature controller;D0673466;http://www.freepatentsonline.com/D673466.pdf
Method for determining the machining quality of components, particularly for metal cutting by NC machines;08346383;http://www.freepatentsonline.com/8346383.pdf
Password policy enforcement in a distributed directory when policy information is distributed;08347347;http://www.freepatentsonline.com/8347347.pdf
